path,labels
fma_large\001\001910.mp3,3
fma_large\013\013911.mp3,11
fma_large\087\087594.mp3,9
fma_large\119\119754.mp3,3
fma_large\097\097966.mp3,6
fma_large\054\054002.mp3,0
fma_large\045\045059.mp3,2
fma_large\061\061367.mp3,3
fma_large\112\112769.mp3,6
fma_large\103\103806.mp3,0
fma_large\152\152233.mp3,6
fma_large\017\017568.mp3,3
fma_large\127\127263.mp3,6
fma_large\058\058131.mp3,4
fma_large\062\062861.mp3,2
fma_large\120\120152.mp3,3
fma_large\038\038753.mp3,3
fma_large\005\005343.mp3,6
fma_large\000\000769.mp3,9
fma_large\055\055257.mp3,2
fma_large\100\100238.mp3,3
fma_large\108\108221.mp3,6
fma_large\105\105701.mp3,6
fma_large\030\030374.mp3,6
fma_large\055\055902.mp3,2
fma_large\124\124296.mp3,3
fma_large\132\132165.mp3,2
fma_large\015\015543.mp3,3
fma_large\134\134454.mp3,14
fma_large\012\012853.mp3,4
fma_large\004\004093.mp3,8
fma_large\019\019234.mp3,6
fma_large\147\147769.mp3,2
fma_large\112\112251.mp3,4
fma_large\061\061970.mp3,2
fma_large\035\035195.mp3,3
fma_large\086\086365.mp3,14
fma_large\054\054348.mp3,10
fma_large\023\023484.mp3,6
fma_large\124\124491.mp3,2
fma_large\046\046035.mp3,3
fma_large\045\045470.mp3,2
fma_large\014\014668.mp3,6
fma_large\122\122728.mp3,13
fma_large\149\149512.mp3,2
fma_large\009\009139.mp3,6
fma_large\084\084407.mp3,3
fma_large\131\131983.mp3,14
fma_large\098\098526.mp3,3
fma_large\149\149189.mp3,2
fma_large\034\034980.mp3,6
fma_large\050\050939.mp3,12
fma_large\095\095197.mp3,6
fma_large\137\137180.mp3,6
fma_large\092\092129.mp3,1
fma_large\152\152423.mp3,8
fma_large\111\111467.mp3,3
fma_large\044\044865.mp3,3
fma_large\001\001939.mp3,3
fma_large\060\060886.mp3,2
fma_large\120\120650.mp3,3
fma_large\107\107618.mp3,2
fma_large\152\152067.mp3,6
fma_large\148\148161.mp3,2
fma_large\084\084159.mp3,4
fma_large\111\111903.mp3,2
fma_large\091\091219.mp3,2
fma_large\075\075150.mp3,2
fma_large\012\012996.mp3,6
fma_large\072\072388.mp3,5
fma_large\051\051187.mp3,2
fma_large\027\027674.mp3,6
fma_large\026\026761.mp3,1
fma_large\114\114105.mp3,1
fma_large\092\092867.mp3,2
fma_large\095\095629.mp3,6
fma_large\118\118573.mp3,0
fma_large\047\047951.mp3,2
fma_large\003\003936.mp3,2
fma_large\007\007066.mp3,2
fma_large\105\105673.mp3,6
fma_large\118\118494.mp3,3
fma_large\148\148120.mp3,14
fma_large\035\035609.mp3,1
fma_large\083\083461.mp3,2
fma_large\022\022971.mp3,5
fma_large\107\107083.mp3,2
fma_large\118\118652.mp3,10
fma_large\007\007996.mp3,2
fma_large\029\029422.mp3,1
fma_large\000\000483.mp3,2
fma_large\095\095041.mp3,3
fma_large\123\123000.mp3,6
fma_large\060\060613.mp3,2
fma_large\141\141074.mp3,14
fma_large\081\081018.mp3,3
fma_large\117\117886.mp3,2
fma_large\095\095482.mp3,1
fma_large\044\044280.mp3,2
fma_large\066\066813.mp3,0
fma_large\009\009702.mp3,6
fma_large\049\049043.mp3,1
fma_large\018\018416.mp3,2
fma_large\110\110751.mp3,0
